,id,sex,genotype,phenotype,area,ellipse axe 1 length,max axe 1 length,deviation max axe 1 from center,axe 1 Moment 2,axe 1 Moment 3,axe 1 Moment 4,std axe 1 Moment 2,std axe 1 Moment 3,std axe 1 Moment 4,ellipse axe 2 length,max axe 2 length,deviation max axe 2 from center,axe 2 Moment 2,axe 2 Moment 3,axe 2 Moment 4,std axe 2 Moment 2,std axe 2 Moment 3,std axe 2 Moment 4,Perimeter,Tribe,Genus,Species,sub-species,doresal/ventral,Anterior/Posterior,left/right,sub/Family,sex-phenotype
14,742,M,s-s,silvana,1099084.0,1789.8597,1839,58.0554,1286820557354,1684705052705730,2.3449499991718e+18,0.58839,0.62697,0.65719,802.177,874.0,-18.9307,214633175034.0,120580525754864.0,7.33990924370585e+16,0.50562,0.54774,0.58164,4809.4452,Heliconiinae,Heliconius,numata,elegans,d,Ant,d,Ithomiinae,m-aurora
15,742,M,s-s,silvana,731799.0,1157.1963,1147,-19.5067,307899610208,250086115203310,2.17832344296409e+17,0.56552,0.60954,0.64398,811.961,822.0,-16.5531,146370299171.0,82992735627421.0,5.06885787190506e+16,0.54407,0.58886,0.62411,4809.4452,Heliconiinae,Heliconius,numata,elegans,d,Ant,d,Ithomiinae,m-aurora
16,755,F,a-e,elegans,1018165.0,1671.0457,1729,104.6061,1078630509337,1333701064251560,1.75029157207044e+18,0.5953,0.63283,0.66226,800.8539,869.0,-19.127,202064167233.0,114028527674261.0,6.97166862278368e+16,0.51264,0.55468,0.58865,4665.2442,Heliconiinae,Heliconius,numata,elegans,d,Ant,d,Ithomiinae,m-aurora
17,755,F,a-e,elegans,663348.0,1136.6787,1133,-37.6066,277110987983,222783159247011,1.9163820513053e+17,0.57046,0.6135,0.64708,749.5901,746.0,-108.6379,107245196996.0,55218768410994.0,3.06369503950833e+16,0.53899,0.5853,0.62142,4665.2442,Heliconiinae,Heliconius,numata,elegans,d,Ant,d,Ithomiinae,m-aurora
18,759,M,e-s,elegans,1152681.0,1763.898,1795,-131.4415,1037996539712,1265250883804280,1.67096852908962e+18,0.52866,0.57468,0.61129,851.5599,917.0,-33.0056,252974811693.0,150638053681227.0,9.70843096027577e+16,0.51088,0.5534,0.58748,4889.026,Heliconiinae,Heliconius,numata,elegans,d,Ant,d,Ithomiinae,m-aurora
19,759,M,e-s,elegans,781256.0,1181.4045,1169,-22.898,340882547545,282229119348565,2.5059650158607e+17,0.56506,0.60924,0.64377,845.6859,858.0,-3.1018,171534547818.0,101465233687698.0,6.45358526000428e+16,0.54612,0.59023,0.62483,4889.026,Heliconiinae,Heliconius,numata,elegans,d,Ant,d,Ithomiinae,m-aurora
20,760,F,a-s,aurora,1004786.0,1677.3017,1760,88.6948,1113280928536,1399651783986980,1.86567597350703e+18,0.59807,0.63456,0.66325,790.592,868.0,-34.9272,194283168913.0,108352460103629.0,6.55414036764829e+16,0.5066,0.54836,0.58222,4634.7102,Heliconiinae,Heliconius,numata,elegans,d,Ant,d,Ithomiinae,m-aurora
21,760,F,a-s,aurora,648724.0,1140.2274,1117,-36.0163,259057091134,205728571811840,1.75115972230086e+17,0.56574,0.61051,0.6453,729.9006,727.0,-23.1063,98878561301.0,49432462451511.0,2.6612114858775e+16,0.53702,0.58315,0.61904,4634.7102,Heliconiinae,Heliconius,numata,elegans,d,Ant,d,Ithomiinae,m-aurora
22,771,M,a-e,elegans,998774.0,1661.5032,1704,78.4225,1035930465635,1269701943898650,1.65176078562571e+18,0.59767,0.63573,0.6655,787.5757,854.0,-52.3568,189220736750.0,104523489479118.0,6.2513693275651e+16,0.50967,0.55181,0.58569,4658.3325,Heliconiinae,Heliconius,numata,elegans,d,Ant,d,Ithomiinae,m-aurora
23,771,M,a-e,elegans,694491.0,1115.3013,1130,-7.4249,289516524009,231245494762557,1.97665442441705e+17,0.57138,0.61337,0.64638,797.6449,808.0,-144.2375,135053063268.0,75346085287180.0,4.5250364360372e+16,0.54577,0.59027,0.62528,4658.3325,Heliconiinae,Heliconius,numata,elegans,d,Ant,d,Ithomiinae,m-aurora
24,772,M,a-s,aurora,1147545.0,1786.3909,1821,85.1583,1324392229880,1724043979410960,2.38549866034018e+18,0.58995,0.62895,0.65939,836.913,902.0,-47.4355,246237526822.0,144550398924602.0,9.17627563432876e+16,0.51355,0.55575,0.58955,4974.2737,Heliconiinae,Heliconius,numata,elegans,d,Ant,d,Ithomiinae,m-aurora
25,772,M,a-s,aurora,786552.0,1186.2501,1176,29.0524,347529283099,288884470284637,2.57207580047465e+17,0.56523,0.60896,0.64303,849.0362,857.0,-1.8758,170863019905.0,100968891922359.0,6.42116793614448e+16,0.54385,0.58863,0.62372,4974.2737,Heliconiinae,Heliconius,numata,elegans,d,Ant,d,Ithomiinae,m-aurora
26,773,M,s-s,silvana,1080669.0,1710.0495,1740,71.3975,1147936666523,1432266524367200,1.89906462181958e+18,0.59233,0.63129,0.6617,823.2933,885.0,-59.0449,225581951581.0,130480808993927.0,8.16012635009447e+16,0.51625,0.55848,0.59232,4714.0239,Heliconiinae,Heliconius,numata,elegans,d,Ant,d,Ithomiinae,m-aurora
27,773,M,s-s,silvana,732565.0,1140.6919,1143,18.7965,296207035147,236097691754531,2.01655470046656e+17,0.55632,0.59984,0.63372,823.2068,827.0,-19.633,147958137905.0,84506588091483.0,5.19565658037514e+16,0.54343,0.58863,0.62401,4714.0239,Heliconiinae,Heliconius,numata,elegans,d,Ant,d,Ithomiinae,m-aurora
28,788,F,a-s,aurora,1004592.0,1654.85,1713,90.8145,1052727832012,1292312314409020,1.68255137606055e+18,0.59759,0.63489,0.66411,800.5716,867.0,-69.6025,194991278751.0,109406478114853.0,6.65931080095162e+16,0.50815,0.55081,0.58525,4648.3498,Heliconiinae,Heliconius,numata,elegans,d,Ant,d,Ithomiinae,m-aurora
29,788,F,a-s,aurora,635782.0,1149.2923,1135,-76.3781,272714816000,222267326302148,1.93970659314059e+17,0.57704,0.62067,0.6548,708.9434,709.0,-20.3374,93123127381.0,45465265497097.0,2.38977543556569e+16,0.53979,0.58543,0.62103,4648.3498,Heliconiinae,Heliconius,numata,elegans,d,Ant,d,Ithomiinae,m-aurora
30,789,M,a-s,aurora,1046449.0,1693.1516,1737,50.9777,1120677660773,1398236258914530,1.85321403569076e+18,0.59577,0.6341,0.66413,807.6356,869.0,-6.6495,207146661284.0,117162221850946.0,7.17675532851896e+16,0.51199,0.55463,0.58889,4617.428,Heliconiinae,Heliconius,numata,elegans,d,Ant,d,Ithomiinae,m-aurora
31,789,M,a-s,aurora,726120.0,1150.9115,1145,-63.8715,311964505913,254551912508401,2.22513018541672e+17,0.57246,0.61582,0.6498,808.8214,820.0,-6.0439,146441335071.0,83107769266887.0,5.07726448197959e+16,0.54766,0.5921,0.62711,4617.428,Heliconiinae,Heliconius,numata,elegans,d,Ant,d,Ithomiinae,m-aurora
32,790,M,a-e,elegans,1202555.0,1789.8832,1840,105.352,1431166823199,1884837303637010,2.63790245760305e+18,0.59289,0.6313,0.66141,875.2807,938.0,-56.4842,280264135536.0,171767487391984.0,1.13887367015518e+17,0.51467,0.55728,0.59141,4908.3569,Heliconiinae,Heliconius,numata,elegans,d,Ant,d,Ithomiinae,m-aurora
33,790,M,a-e,elegans,817911.0,1203.2523,1195,-83.5004,382969191525,326181642467423,2.97533644716002e+17,0.57261,0.61596,0.64989,871.0549,883.0,-3.5403,187529454254.0,113841657071118.0,7.44080876683184e+16,0.54228,0.58691,0.62197,4908.3569,Heliconiinae,Heliconius,numata,elegans,d,Ant,d,Ithomiinae,m-aurora
34,791,M,e-s,elegans,1170141.0,1790.8376,1835,131.5304,1371734441177,1796642088690810,2.50101399473207e+18,0.59004,0.62869,0.65892,851.6834,918.0,-69.3943,259664542426.0,155100347172488.0,1.00224316611541e+17,0.51315,0.55541,0.58931,4969.8788,Heliconiinae,Heliconius,numata,elegans,d,Ant,d,Ithomiinae,m-aurora
35,791,M,e-s,elegans,815220.0,1221.815,1208,29.3167,395400135962,342173723471700,3.1687783790337e+17,0.57652,0.61981,0.65364,854.1467,868.0,9.6427,179765246518.0,106912095330308.0,6.84133563641751e+16,0.541,0.58533,0.62008,4969.8788,Heliconiinae,Heliconius,numata,elegans,d,Ant,d,Ithomiinae,m-aurora
36,792,F,a-e,elegans,1013016.0,1692.4424,1731,-45.4198,823638705298,961100171216412,1.2193498133107e+18,0.52091,0.56766,0.60511,788.4461,855.0,-0.59131,190913043644.0,105406953304728.0,6.30817393688883e+16,0.50774,0.55011,0.58426,4665.7224,Heliconiinae,Heliconius,numata,elegans,d,Ant,d,Ithomiinae,m-aurora
37,792,F,a-e,elegans,655786.0,1160.0379,1143,1.4962,285317085144,234000507256246,2.05275808751931e+17,0.57708,0.62054,0.65441,726.0739,725.0,-110.6258,99080635699.0,49333229722589.0,2.64670959487367e+16,0.53614,0.58227,0.61823,4665.7224,Heliconiinae,Heliconius,numata,elegans,d,Ant,d,Ithomiinae,m-aurora
38,804,F,s-s,silvana,1071099.0,1753.8182,1828,52.8987,1283865823373,1681757295299940,2.33623948631877e+18,0.59892,0.63582,0.66481,806.5523,878.0,-51.708,207823407044.0,116963994352642.0,7.14790080736879e+16,0.50169,0.54439,0.57889,4860.4503,Heliconiinae,Heliconius,numata,elegans,d,Ant,d,Ithomiinae,m-aurora
39,804,F,s-s,silvana,660174.0,1155.2641,1131,25.6005,266048797141,212861021327865,1.82604655022355e+17,0.56129,0.60629,0.64121,734.9467,732.0,-149.9538,100886015113.0,50675211488277.0,2.74386947746294e+16,0.53404,0.58059,0.61683,4860.4503,Heliconiinae,Heliconius,numata,elegans,d,Ant,d,Ithomiinae,m-aurora
40,814,F,a-s,aurora,1172720.0,1821.0817,1895,117.5467,1535183471271,2096950137538660,3.0353524112528e+18,0.60377,0.6405,0.66934,850.8818,927.0,-22.779,257603546672.0,153595682444886.0,9.93286908684824e+16,0.50559,0.54783,0.58196,5104.097,Heliconiinae,Heliconius,numata,elegans,d,Ant,d,Ithomiinae,m-aurora
41,814,F,a-s,aurora,755305.0,1238.5581,1218,-17.3992,368677334581,321174995332097,2.99396501479712e+17,0.57361,0.61739,0.65145,781.2358,786.0,-125.7784,136687591508.0,73937782265388.0,4.30436618150891e+16,0.54123,0.58635,0.62162,5104.097,Heliconiinae,Heliconius,numata,elegans,d,Ant,d,Ithomiinae,m-aurora
42,815,M,a-e,elegans,1123574.0,1751.6928,1797,148.2064,1274842361242,1638887207607440,2.2381233193064e+18,0.59276,0.6311,0.66111,837.97,908.0,-50.606,246059600548.0,145442457862522.0,9.2982042615291e+16,0.51539,0.55711,0.5907,4853.563,Heliconiinae,Heliconius,numata,elegans,d,Ant,d,Ithomiinae,m-aurora
43,815,M,a-e,elegans,763788.0,1177.7192,1174,43.4054,345301638234,288532854345928,2.58054982510692e+17,0.57272,0.61575,0.64941,828.831,837.0,-97.4445,160914607457.0,93219461564851.0,5.8043929960562e+16,0.54839,0.59263,0.62729,4853.563,Heliconiinae,Heliconius,numata,elegans,d,Ant,d,Ithomiinae,m-aurora
44,823,F,e-s,elegans,1158163.0,1799.986,1864,105.2476,1475338667454,1987591768338370,2.83681272075118e+18,0.6055,0.6423,0.67115,850.803,932.0,-32.2423,259687725381.0,155731899928531.0,1.01180418728422e+17,0.50807,0.54969,0.58333,5116.4057,Heliconiinae,Heliconius,numata,elegans,d,Ant,d,Ithomiinae,m-aurora
45,823,F,e-s,elegans,759597.0,1236.1487,1228,65.1741,381457023077,334970259903611,3.14351367708399e+17,0.57708,0.61983,0.65315,787.5989,790.0,-130.1823,139322258967.0,75890205534867.0,4.44727126924185e+16,0.54212,0.58736,0.62266,5116.4057,Heliconiinae,Heliconius,numata,elegans,d,Ant,d,Ithomiinae,m-aurora
46,824,M,s-s,silvana,1088864.0,1785.1512,1818,84.9978,1248160764566,1620394792562020,2.23660362665926e+18,0.58892,0.62799,0.65851,796.6103,869.0,-31.5588,210858058937.0,117856608844247.0,7.13571738815191e+16,0.50639,0.54841,0.58223,4827.0777,Heliconiinae,Heliconius,numata,elegans,d,Ant,d,Ithomiinae,m-aurora
47,824,M,s-s,silvana,705499.0,1145.2063,1143,-105.6103,301425257179,245005532302847,2.13243678472979e+17,0.57187,0.61496,0.64871,790.078,798.0,-19.1557,136578435219.0,75817179043985.0,4.52837010784449e+16,0.55137,0.59578,0.63075,4827.0777,Heliconiinae,Heliconius,numata,elegans,d,Ant,d,Ithomiinae,m-aurora
48,840,M,s-s,silvana,1085455.0,1760.7877,1798,-97.4687,976817513282,1189071092945140,1.56771522890528e+18,0.52761,0.57334,0.60971,802.8375,867.0,-21.7349,211349188635.0,118590204782301.0,7.202917409469e+16,0.50895,0.55139,0.5854,4896.7346,Heliconiinae,Heliconius,numata,elegans,d,Ant,d,Ithomiinae,m-aurora
49,840,M,s-s,silvana,748212.0,1173.7921,1161,-60.7072,328317121242,271735443553954,2.41091853898253e+17,0.57056,0.61453,0.64894,816.5203,827.0,-15.0783,155090755535.0,89013378495695.0,5.49473408919085e+16,0.55052,0.59471,0.62947,4896.7346,Heliconiinae,Heliconius,numata,elegans,d,Ant,d,Ithomiinae,m-aurora
50,841,F,s-s,silvana,1007652.0,1687.657,1737,54.9855,1060824324819,1313092363944120,1.72646337479798e+18,0.5907,0.62882,0.65866,784.0523,858.0,-26.272,190493953692.0,105060492542982.0,6.2801471116856e+16,0.50675,0.54856,0.58234,4619.6462,Heliconiinae,Heliconius,numata,elegans,d,Ant,d,Ithomiinae,m-aurora
51,841,F,s-s,silvana,638854.0,1138.1467,1119,80.1073,252630136111,199871843225915,1.69541323801348e+17,0.56197,0.60667,0.64141,720.7931,719.0,-15.3149,94791215424.0,46801317671538.0,2.48961333559739e+16,0.53574,0.58196,0.61795,4619.6462,Heliconiinae,Heliconius,numata,elegans,d,Ant,d,Ithomiinae,m-aurora
52,842,M,e-s,elegans,1106233.0,1768.352,1834,-113.9315,985187848998,1198692762731660,1.5821690172609e+18,0.51456,0.56004,0.59628,816.1645,880.0,-9.1679,223465679496.0,127559891502312.0,7.87982372548438e+16,0.51074,0.5531,0.58706,4819.1854,Heliconiinae,Heliconius,numata,elegans,d,Ant,d,Ithomiinae,m-aurora
53,842,M,e-s,elegans,726117.0,1164.1125,1149,70.4806,298651475023,240836611572311,2.08056275551472e+17,0.55816,0.60245,0.63676,800.1037,812.0,-24.3217,145439350449.0,81963892675941.0,4.96649389590655e+16,0.55117,0.59518,0.6298,4819.1854,Heliconiinae,Heliconius,numata,elegans,d,Ant,d,Ithomiinae,m-aurora
54,843,M,a-s,aurora,981714.0,1652.6213,1692,-74.7109,771827231404,880241021800920,1.08833011490085e+18,0.52404,0.56991,0.60645,774.4699,833.0,-93.3151,178979871135.0,97065732031153.0,5.6973540151857e+16,0.51258,0.55511,0.58922,4563.2371,Heliconiinae,Heliconius,numata,elegans,d,Ant,d,Ithomiinae,m-aurora
55,843,M,a-s,aurora,666668.0,1092.8445,1083,-21.751,246820302193,188227349832553,1.53808067196592e+17,0.56183,0.60575,0.63994,781.7791,786.0,-3.3669,120443757683.0,65173474463043.0,3.79830694965845e+16,0.54077,0.58609,0.62158,4563.2371,Heliconiinae,Heliconius,numata,elegans,d,Ant,d,Ithomiinae,m-aurora
56,844,M,a-e,elegans,1151521.0,1760.8809,1795,74.8004,1287543309773,1648944449517760,2.24373252928959e+18,0.58909,0.62793,0.6582,854.3996,922.0,-81.3671,259766853105.0,156181734745927.0,1.01602141910329e+17,0.51514,0.55726,0.59112,4863.8645,Heliconiinae,Heliconius,numata,elegans,d,Ant,d,Ithomiinae,m-aurora
57,844,M,a-e,elegans,786836.0,1212.2774,1196,-81.1728,363457681337,309584655712603,2.8291598324895e+17,0.56827,0.61268,0.64746,831.4129,842.0,-14.59,169162702130.0,98858742374912.0,6.21342441662756e+16,0.55068,0.59484,0.62958,4863.8645,Heliconiinae,Heliconius,numata,elegans,d,Ant,d,Ithomiinae,m-aurora
58,851,F,a-s,aurora,1061564.0,1707.8447,1780,-121.6342,887450804855,1048025915067580,1.3459422202971e+18,0.51366,0.5594,0.59614,818.5214,889.0,-39.984,216989091805.0,124562943355247.0,7.74900557704225e+16,0.50856,0.5507,0.58469,4776.5924,Heliconiinae,Heliconius,numata,elegans,d,Ant,d,Ithomiinae,m-aurora
59,851,F,a-s,aurora,671640.0,1162.5963,1152,26.1636,289602250935,237484470544881,2.08734518503477e+17,0.57001,0.61383,0.64813,741.5084,747.0,-111.3857,107914714578.0,55240090436138.0,3.04791091248326e+16,0.5366,0.58217,0.61787,4776.5924,Heliconiinae,Heliconius,numata,elegans,d,Ant,d,Ithomiinae,m-aurora
60,875,F,s-s,silvana,1019467.0,1708.3005,1765,-106.4896,839006127308,986901023497124,1.26314321345295e+18,0.51399,0.56047,0.59776,786.5538,856.0,-11.0016,194609061747.0,107689566562047.0,6.45333887994704e+16,0.51041,0.55224,0.58597,4846.4675,Heliconiinae,Heliconius,numata,elegans,d,Ant,d,Ithomiinae,m-aurora
61,875,F,s-s,silvana,648932.0,1127.392,1121,20.8525,269989172812,216231997551810,1.85334419816751e+17,0.5754,0.61845,0.65213,739.2655,745.0,-108.8193,102016283881.0,51812019162023.0,2.83712260933247e+16,0.5322,0.57799,0.61378,4846.4675,Heliconiinae,Heliconius,numata,elegans,d,Ant,d,Ithomiinae,m-aurora
62,876,F,a-s,aurora,1021426.0,1702.4914,1753,-103.7225,828231448504,968179431627152,1.23112246683722e+18,0.51368,0.56036,0.59771,790.6202,856.0,-31.8959,194666076799.0,107953437724785.0,6.4869730899614e+16,0.51,0.55234,0.58646,4754.2808,Heliconiinae,Heliconius,numata,elegans,d,Ant,d,Ithomiinae,m-aurora
63,876,F,a-s,aurora,655303.0,1153.2501,1136,73.2842,269391627545,216501610835127,1.86308541409903e+17,0.56441,0.60855,0.64279,728.0358,730.0,-87.3858,102631637967.0,51683238884855.0,2.80109871081611e+16,0.54212,0.58746,0.62287,4754.2808,Heliconiinae,Heliconius,numata,elegans,d,Ant,d,Ithomiinae,m-aurora
64,877,F,a-s,aurora,1128908.0,1779.2336,1841,-124.2176,1010610537991,1239433033320870,1.65402819763531e+18,0.51394,0.56036,0.59761,837.3632,919.0,-32.4688,245465336335.0,144854092292613.0,9.25886233195486e+16,0.5074,0.54884,0.58232,4945.2026,Heliconiinae,Heliconius,numata,elegans,d,Ant,d,Ithomiinae,m-aurora
65,877,F,a-s,aurora,714303.0,1204.0303,1202,23.002,329720983022,279876991623676,2.54600289971099e+17,0.56523,0.60878,0.64282,760.6564,759.0,-87.9398,121437799872.0,63820893154722.0,3.61160541737037e+16,0.54324,0.589,0.62476,4945.2026,Heliconiinae,Heliconius,numata,elegans,d,Ant,d,Ithomiinae,m-aurora
66,878,F,a-s,aurora,1068891.0,1723.2011,1787,-106.6492,900492158458,1069960513089190,1.3828296568733e+18,0.51363,0.55978,0.59681,817.9426,889.0,-40.0326,218620942040.0,125569392251592.0,7.81816603326631e+16,0.50872,0.55091,0.58498,4906.3641,Heliconiinae,Heliconius,numata,elegans,d,Ant,d,Ithomiinae,m-aurora
67,878,F,a-s,aurora,694483.0,1174.152,1161,27.0785,302356774585,249481785721621,2.20598190022473e+17,0.56833,0.61229,0.64663,758.3667,761.0,-105.1232,117033728908.0,61272230433816.0,3.45528436547627e+16,0.53944,0.58499,0.62061,4906.3641,Heliconiinae,Heliconius,numata,elegans,d,Ant,d,Ithomiinae,m-aurora
68,899,F,e-s,elegans,1014277.0,1675.4523,1723,-129.3308,796981270784,918343265558240,1.15208640421337e+18,0.51447,0.56148,0.59917,800.5324,869.0,-31.5792,197837888554.0,110969667367386.0,6.74377595192291e+16,0.50823,0.55038,0.58434,4752.2421,Heliconiinae,Heliconius,numata,elegans,d,Ant,d,Ithomiinae,m-aurora
69,899,F,e-s,elegans,641417.0,1122.8405,1106,31.2735,263171025400,209517047281152,1.78498178627759e+17,0.57915,0.62269,0.6567,733.9806,733.0,-67.9181,97890986993.0,49122322813045.0,2.65778001770222e+16,0.53296,0.57935,0.61552,4752.2421,Heliconiinae,Heliconius,numata,elegans,d,Ant,d,Ithomiinae,m-aurora
